,balance,equity,balance_btc,equity_btc
12960,517.3507833320004,516.2520544460003,0.0,-0.5577000000000041
13020,522.8030049584116,517.3747333320005,0.0,0.02395000000003993
13080,531.1813282900004,523.3395028080004,0.0,0.5364978495887033
13140,540.6196401780006,522.8332082900005,0.0,-8.348119999999884
13200,540.6194719700006,539.3420901780006,0.0,-1.2775499999999869
13260,540.8996231880006,539.3186219700007,0.0,-1.300849999999989
13320,541.1785756120006,538.4883031880006,0.0,-2.411319999999992
13380,541.1785756120006,537.5512756120006,0.0,-3.6272999999999924
13440,541.4554540600005,537.7617256120006,0.0,-3.4168499999999953
13500,541.7356322360006,537.1322340600005,0.0,-4.323219999999995
13560,541.7263823960005,536.7273522360006,0.0,-5.00827999999999
13620,542.9507553900006,537.3446223960005,0.0,-4.381759999999997
13680,544.4373497640005,536.8854253900006,0.0,-6.065329999999991
13740,548.1843903320006,538.9953997640006,0.0,-5.4419499999999825
13800,556.9019733220007,537.7396903320007,0.0,-10.444699999999964
13860,562.7872400497221,556.2381133220006,0.0,-0.6638600000001028
13920,563.5009962417222,563.1074097200005,0.0,0.32416258227845307
13980,564.227646329722,566.8393188240007,0.0,3.3383225822784413
14040,568.9846045840004,563.4257389120005,0.0,-0.8019074177215261
14100,569.5125552580004,568.6069645840004,0.0,-0.3776400000000013
14160,570.1195149300004,569.0735452580004,0.0,-0.4390099999999988
14220,570.0130469300004,564.3030549300004,0.0,-5.816460000000001
14280,569.9085982500004,562.1549469300005,0.0,-7.8580999999999745
14340,571.4188672714115,570.9575982500008,0.0,1.0490000000003898
14400,576.020880384021,568.0750151020006,0.0,-3.3438521694108254
14460,576.223159488021,578.6480657040007,0.0,2.6271853199797217
14520,576.223159488021,577.6138048080007,0.0,1.3906453199797209
14580,576.223159488021,577.4055448080007,0.0,1.182385319979694
14640,576.053003360021,571.9907848080007,0.0,-4.232374680020264
14700,578.9301599761981,540.058385296001,0.0,-35.97703468002004
