,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
1524,39675,HYPE,0.38085999999999826,-0.007615282000000001,1061.3873684920002,0.0,1061.3873684920002,1.0,-1.37,27.793,0.0,27.515,close_grid_long
1525,39676,HYPE,0.0,-0.007540206000000001,1061.3798282860002,0.0,1061.3798282860002,1.0,1.37,27.519,1.37,27.519,entry_initial_normal_long
1526,39693,HYPE,0.0,-0.013504266000000003,1061.3663240200003,0.0,1061.3663240200003,1.0,2.49,27.117,3.86,27.25967875647669,entry_grid_cropped_long
1527,39723,HYPE,1.0434399999999868,-0.02125316,1062.3885108600002,0.0,1062.3885108600002,1.0,-3.86,27.53,0.0,27.25967875647669,close_grid_long
1528,39727,HYPE,0.0,-0.007554454000000001,1062.3809564060002,0.0,1062.3809564060002,1.0,1.37,27.571,1.37,27.571,entry_initial_normal_long
1529,39743,HYPE,0.0,-0.013529664,1062.3674267420001,0.0,1062.3674267420001,1.0,2.49,27.168,3.86,27.31103367875648,entry_grid_cropped_long
1530,39801,HYPE,1.0459299999999883,-0.021293304000000002,1063.3920634380002,0.0,1063.3920634380002,1.0,-3.86,27.582,0.0,27.31103367875648,close_grid_long
1531,39802,HYPE,0.0,-0.007562400000000001,1063.384501038,0.0,1063.384501038,1.0,1.37,27.6,1.37,27.6,entry_initial_normal_long
1532,39803,HYPE,0.3822299999999999,-0.007638846000000001,1063.759092192,0.0,1063.759092192,1.0,-1.37,27.879,0.0,27.6,close_grid_long
1533,39808,HYPE,0.0,-0.007564318,1063.751527874,0.0,1063.751527874,1.0,1.37,27.607,1.37,27.607,entry_initial_normal_long
1534,39816,HYPE,0.3822299999999999,-0.007640764,1064.12611711,0.0,1064.12611711,1.0,-1.37,27.886,0.0,27.607,close_grid_long
1535,39818,HYPE,0.0,-0.05725563800000001,1064.068861472,0.0,1064.068861472,1.0,-10.21,28.039,-14.48,27.79701104972376,entry_trailing_normal_short
1536,39908,HYPE,0.0,-0.007551264000000001,1064.061310208,0.0,1064.061310208,1.0,1.36,27.762,1.36,27.762,entry_initial_normal_long
1537,39915,HYPE,0.3821599999999984,-0.007627696000000001,1064.435842512,0.0,1064.435842512,1.0,-1.36,28.043,0.0,27.762,close_grid_long
1538,39921,HYPE,0.0,-0.007555616000000001,1064.428286896,0.0,1064.428286896,1.0,1.36,27.778,1.36,27.778,entry_initial_normal_long
1539,39931,HYPE,0.3821600000000032,-0.007632048000000001,1064.802814848,0.0,1064.802814848,1.0,-1.36,28.059,0.0,27.778,close_grid_long
1540,39938,HYPE,0.0,-0.007560784000000001,1064.7952540640001,0.0,1064.7952540640001,1.0,1.36,27.797,1.36,27.797,entry_initial_normal_long
1541,39941,HYPE,0.0,-0.013531154000000002,1064.78172291,0.0,1064.78172291,1.0,2.47,27.391,3.83,27.535167101827675,entry_grid_cropped_long
1542,39941,HYPE,7.4863200000000365,-0.07900288000000001,1072.1890400300001,0.0,1072.1890400300001,1.0,14.48,27.28,0.0,27.79701104972376,close_grid_short
1543,39942,HYPE,0.0,-0.0052350719999999995,1072.183804958,0.0,1072.183804958,1.0,-0.96,27.266,-0.96,27.266,entry_initial_normal_short
1544,39996,HYPE,0.5635199999999997,-0.0051223679999999995,1072.74220259,0.0,1072.74220259,1.0,0.96,26.679,0.0,27.266,close_grid_short
1545,39998,HYPE,0.0,-0.005237708,1072.736964882,0.0,1072.736964882,1.0,-0.98,26.723,-0.98,26.723,entry_initial_normal_short
1546,40155,HYPE,0.5634999999999993,-0.005125008,1073.2953398739999,0.0,1073.2953398739999,1.0,0.98,26.148,0.0,26.723,close_grid_short
1547,40156,HYPE,0.0,-0.0052278,1073.2901120739998,0.0,1073.2901120739998,1.0,-1.0,26.139,-1.0,26.139,entry_initial_normal_short
1548,40179,HYPE,0.0,-0.018284420000000003,1073.2718276539997,0.0,1073.2718276539997,1.0,-3.41,26.81,-4.41,26.65784580498866,entry_grid_inflated_short
1549,40245,HYPE,0.0,-0.058136830000000014,1073.2136908239997,0.0,1073.2136908239997,1.0,-10.55,27.553,-14.96,27.289120989304813,entry_trailing_normal_short
1550,40272,HYPE,7.586529999999999,-0.080131744,1080.7200890799998,0.0,1080.7200890799998,1.0,14.96,26.782,0.0,27.289120989304813,close_grid_short
1551,40273,HYPE,0.0,-0.00032053199999999995,1080.7197685479998,0.0,1080.7197685479998,1.0,0.06,26.711,3.89,27.52245501285347,entry_grid_cropped_long
1552,40273,HYPE,0.0,-0.005288778,1080.7144797699998,0.0,1080.7144797699998,1.0,-0.99,26.711,-0.99,26.711,entry_initial_normal_short
1553,40421,HYPE,0.0,-0.018410784,1080.6960689859998,0.0,1080.6960689859998,1.0,-3.36,27.397,-4.35,27.240875862068965,entry_grid_inflated_short
1554,40506,HYPE,2.4659099999999983,-0.02320638,1083.1387726059997,0.0,1083.1387726059997,1.0,4.35,26.674,0.0,27.240875862068965,close_grid_short
1555,40507,HYPE,0.0,-0.0052780859999999995,1083.1334945199997,0.0,1083.1334945199997,1.0,-0.99,26.657,-0.99,26.657,entry_initial_normal_short
1556,40552,HYPE,0.5672700000000004,-0.005164632,1083.6955998879996,0.0,1083.6955998879996,1.0,0.99,26.084,0.0,26.657,close_grid_short
1557,40553,HYPE,0.0,-0.005271594000000001,1083.6903282939995,0.0,1083.6903282939995,1.0,-1.01,26.097,-1.01,26.097,entry_initial_normal_short
1558,40926,HYPE,0.0,-0.01846854,1083.6718597539996,0.0,1083.6718597539996,1.0,-3.45,26.766,-4.46,26.6145,entry_grid_inflated_short
1559,40970,HYPE,2.4686099999999986,-0.023246412,1086.1172233419995,0.0,1086.1172233419995,1.0,4.46,26.061,0.0,26.6145,close_grid_short
1560,40971,HYPE,0.0,-0.005306448000000001,1086.1119168939995,0.0,1086.1119168939995,1.0,-1.02,26.012,-1.02,26.012,entry_initial_normal_short
1561,41007,HYPE,0.0,-0.01851592,1086.0934009739995,0.0,1086.0934009739995,1.0,-3.47,26.68,-4.49,26.528249443207127,entry_grid_inflated_short
1562,41200,HYPE,0.0,-0.05930737200000001,1086.0340936019995,0.0,1086.0340936019995,1.0,10.98,27.007,14.87,27.14184330867519,entry_trailing_normal_long
1563,41243,HYPE,0.0,-0.058646844000000004,1085.9754467579996,0.0,1085.9754467579996,1.0,-10.74,27.303,-15.23,27.074593565331586,entry_trailing_normal_short
1564,41244,HYPE,3.615739999999974,-0.08144299,1089.5097437679997,0.0,1089.5097437679997,1.0,-14.87,27.385,0.0,27.14184330867519,close_grid_long
1565,41281,HYPE,0.0,-0.007725368000000001,1089.5020183999998,0.0,1089.5020183999998,1.0,1.42,27.202,1.42,27.202,entry_initial_normal_long
1566,41289,HYPE,0.39049999999999796,-0.007803468,1089.8847149319997,0.0,1089.8847149319997,1.0,-1.42,27.477,0.0,27.202,close_grid_long
1567,41293,HYPE,0.0,-0.007732752000000001,1089.8769821799997,0.0,1089.8769821799997,1.0,1.42,27.228,1.42,27.228,entry_initial_normal_long
1568,41455,HYPE,0.0,-0.013897939999999998,1089.8630842399996,0.0,1089.8630842399996,1.0,2.59,26.83,4.01,26.970937655860347,entry_grid_cropped_long
1569,41479,HYPE,7.669730000000034,-0.080935266,1097.4518789739996,0.0,1097.4518789739996,1.0,15.23,26.571,0.0,27.074593565331586,close_grid_short
1570,41480,HYPE,0.0,-0.005342,1097.4465369739996,0.0,1097.4465369739996,1.0,-1.0,26.71,-1.0,26.71,entry_initial_normal_short
1571,41493,HYPE,0.5749999999999993,-0.005227000000000001,1098.0163099739996,0.0,1098.0163099739996,1.0,1.0,26.135,0.0,26.71,close_grid_short
1572,41494,HYPE,0.0,-0.005380514,1098.0109294599995,0.0,1098.0109294599995,1.0,-1.03,26.119,-1.03,26.119,entry_initial_normal_short
1573,41501,HYPE,0.5788600000000013,-0.005264742,1098.5845247179996,0.0,1098.5845247179996,1.0,1.03,25.557,0.0,26.119,close_grid_short
1574,41502,HYPE,0.0,-0.0053431039999999996,1098.5791816139995,0.0,1098.5791816139995,1.0,-1.04,25.688,-1.04,25.688,entry_initial_normal_short
1575,41523,HYPE,0.5751199999999972,-0.005228080000000001,1099.1490735339994,0.0,1099.1490735339994,1.0,1.04,25.135,0.0,25.688,close_grid_short
1576,41524,HYPE,0.0,-0.005377606000000001,1099.1436959279995,0.0,1099.1436959279995,1.0,-1.07,25.129,-1.07,25.129,entry_initial_normal_short
1577,41535,HYPE,0.5788700000000004,-0.005261832000000001,1099.7173040959995,0.0,1099.7173040959995,1.0,1.07,24.588,0.0,25.129,close_grid_short
1578,41538,HYPE,0.0,-0.005375444000000001,1099.7119286519994,0.0,1099.7119286519994,1.0,-1.09,24.658,-1.09,24.658,entry_initial_normal_short
1579,41556,HYPE,0.5777000000000013,-0.005259904,1100.2843687479995,0.0,1100.2843687479995,1.0,1.09,24.128,0.0,24.658,close_grid_short
1580,41564,HYPE,0.0,-0.005356042,1100.2790127059995,0.0,1100.2790127059995,1.0,-1.09,24.569,-1.09,24.569,entry_initial_normal_short
1581,41585,HYPE,0.0,-0.018748056000000003,1100.2602646499995,0.0,1100.2602646499995,1.0,-3.72,25.199,-4.81,25.056234927234932,entry_grid_inflated_short
1582,41626,HYPE,2.5071400000000232,-0.02360267,1102.7438019799995,0.0,1102.7438019799995,1.0,4.81,24.535,0.0,25.056234927234932,close_grid_short
1583,41627,HYPE,0.0,-0.00024558,1102.7435563999995,0.0,1102.7435563999995,1.0,0.05,24.558,4.06,26.941221674876846,entry_grid_cropped_long
1584,41627,HYPE,0.0,-0.005402760000000001,1102.7381536399996,0.0,1102.7381536399996,1.0,-1.1,24.558,-1.1,24.558,entry_initial_normal_short
1585,41653,HYPE,0.5807999999999987,-0.005286600000000001,1103.3136670399997,0.0,1103.3136670399997,1.0,1.1,24.03,0.0,24.558,close_grid_short
1586,41770,HYPE,0.0,-0.005395072,1103.3082719679996,0.0,1103.3082719679996,1.0,-1.13,23.872,-1.13,23.872,entry_initial_normal_short
1587,41774,HYPE,0.0,-0.05574373200000001,1103.2525282359995,0.0,1103.2525282359995,1.0,11.46,24.321,15.52,25.006444587628867,entry_trailing_normal_long
1588,41894,HYPE,0.5808199999999992,-0.005278908,1103.8280693279996,0.0,1103.8280693279996,1.0,1.13,23.358,0.0,23.872,close_grid_short
1589,41903,HYPE,0.0,-0.00540224,1103.8226670879997,0.0,1103.8226670879997,1.0,-1.15,23.488,-1.15,23.488,entry_initial_normal_short
1590,41927,HYPE,0.5807499999999988,-0.005286089999999999,1104.3981309979997,0.0,1104.3981309979997,1.0,1.15,22.983,0.0,23.488,close_grid_short
1591,42008,HYPE,0.0,-0.005391126,1104.3927398719998,0.0,1104.3927398719998,1.0,-1.17,23.039,-1.17,23.039,entry_initial_normal_short
1592,42009,HYPE,0.0,-0.19873092200000003,1104.1940089499997,0.0,1104.1940089499997,1.0,43.81,22.681,59.33,23.289307770099448,entry_trailing_normal_long
1593,42011,HYPE,0.5803200000000026,-0.005275062,1104.7690538879997,0.0,1104.7690538879997,1.0,1.17,22.543,0.0,23.039,close_grid_short
1594,42062,HYPE,0.0,-0.005391656,1104.7636622319997,0.0,1104.7636622319997,1.0,-1.18,22.846,-1.18,22.846,entry_initial_normal_short
1595,42148,HYPE,8.077435469408186,-0.27288934400000003,1112.568208357408,0.0,1112.568208357408,1.0,-58.24,23.428,1.09,23.289307770099448,close_grid_long
1596,42148,HYPE,0.0,-0.018840132,1112.549368225408,0.0,1112.549368225408,1.0,-4.02,23.433,-5.2,23.299796153846152,entry_grid_inflated_short
1597,42178,HYPE,0.0,-0.016979166,1112.532389059408,0.0,1112.532389059408,1.0,3.69,23.007,4.78,23.071375621215147,entry_grid_inflated_long
1598,42196,HYPE,2.520939999999986,-0.0237276,1115.029601459408,0.0,1115.029601459408,1.0,5.2,22.815,0.0,23.299796153846152,close_grid_short
1599,42197,HYPE,0.0,-0.0054626399999999995,1115.024138819408,0.0,1115.024138819408,1.0,-1.2,22.761,-1.2,22.761,entry_initial_normal_short
